,Unnamed: 0,X,period.name,date,player.load,position,player.name,player.load...min,period.number,win.or.loss,tot.fga,x3pt.fga,fta,tp,to,min,duration,game.or.practice,day,home.or.away,Injury,shoot_percentage
5786,5787,5787,Session,2013/11/15,552.32,F,Player1,6.01189,0,0,1,0,0,2,0,10,5512,1,6,0,0,1
5787,5788,5788,Session,2013/11/15,716.69,G,Player2,6.88736,0,0,4,3,2,5,2,14,6243,1,6,0,0,0.238095238
5788,5789,5789,Session,2013/11/15,829.20999,F,Player3,6.99211,0,0,6,5,3,11,1,28,7115,1,6,0,0,0.333333333
5789,5790,5790,Session,2013/11/15,335.96,G,Player4,4.3244,0,0,0,0,0,0,0,0,4661,1,6,0,0,0
5790,5791,5791,Session,2013/11/15,1036.25999,F,Player5,7.63844,0,0,16,5,10,21,3,36,8139,1,6,0,0,0.313432836
5791,5792,5792,Session,2013/11/15,774.44999,C,Player6,6.27348,0,0,6,0,10,12,3,30,7406,1,6,0,0,0.375
5792,5793,5793,Session,2013/11/15,841.31999,G,Player7,7.28644,0,0,8,2,0,6,1,26,6927,1,6,0,0,0.272727273
5793,5794,5794,Session,2013/11/15,469.37,C,Player8,6.04163,0,0,0,0,0,0,0,0,4661,1,6,0,0,0
5794,5795,5795,Session,2013/11/15,499.74,F,Player9,7.81642,0,0,10,3,0,10,1,29,3836,1,6,0,0,0.344827586
5795,5796,5796,Session,2013/11/15,822.88999,G,Player10,6.81298,0,0,14,8,2,13,0,27,7246,1,6,0,0,0.232142857
5796,5797,5797,Pre Game Shooting,2013/11/15,46.6,F,Player1,2.34776,1,0,0,0,0,0,0,0,1190,1,6,0,0,0
5797,5798,5798,Pre Game Shooting,2013/11/15,54.24,G,Player2,2.73268,1,0,0,0,0,0,0,0,1190,1,6,0,0,0
5798,5799,5799,Pre Game Shooting,2013/11/15,71.14,F,Player3,3.58412,1,0,0,0,0,0,0,0,1190,1,6,0,0,0
5799,5800,5800,Pre Game Shooting,2013/11/15,63.97,G,Player4,3.22289,1,0,0,0,0,0,0,0,1190,1,6,0,0,0
5800,5801,5801,Pre Game Shooting,2013/11/15,59.35,F,Player5,2.99013,1,0,0,0,0,0,0,0,1190,1,6,0,0,0
5801,5802,5802,Pre Game Shooting,2013/11/15,60.98,C,Player6,3.07225,1,0,0,0,0,0,0,0,1190,1,6,0,0,0
5802,5803,5803,Pre Game Shooting,2013/11/15,52.25,G,Player7,2.63242,1,0,0,0,0,0,0,0,1190,1,6,0,0,0
5803,5804,5804,Pre Game Shooting,2013/11/15,130.64,C,Player8,6.5818,1,0,0,0,0,0,0,0,1190,1,6,0,0,0
5804,5805,5805,Pre Game Shooting,2013/11/15,45.01,G,Player10,2.26766,1,0,0,0,0,0,0,0,1190,1,6,0,0,0
