,X,period.name,date,player.load,position,player.name,player.load.minute,period.number,win.or.loss,FGA,FGA3PT,FTA,TP,TO,min,duration,game.or.practice,day,home.or.away
0,1,Session,2015/10/3,968.62999,F,Player1,5.504,0,0,0,0,0,0,0,0,10559,0,7,0
1,2,Session,2015/10/3,993.96999,G,Player2,5.64798,0,0,0,0,0,0,0,0,10559,0,7,0
2,3,Session,2015/10/3,907.54,F,Player3,5.15687,0,0,0,0,0,0,0,0,10559,0,7,0
3,4,Session,2015/10/3,825.95999,G,Player4,4.69331,0,0,0,0,0,0,0,0,10559,0,7,0
4,5,Session,2015/10/3,928.74,F,Player5,5.27733,0,0,0,0,0,0,0,0,10559,0,7,0
5,6,Session,2015/10/3,782.73,C,Player6,4.44767,0,0,0,0,0,0,0,0,10559,0,7,0
6,7,Session,2015/10/3,1112.22,G,Player7,6.31991,0,0,0,0,0,0,0,0,10559,0,7,0
7,8,Session,2015/10/3,925.82,C,Player8,5.26074,0,0,0,0,0,0,0,0,10559,0,7,0
8,9,Session,2015/10/3,930.64999,F,Player9,5.28818,0,0,0,0,0,0,0,0,10559,0,7,0
9,10,Session,2015/10/3,705.57001,G,Player10,4.00922,0,0,0,0,0,0,0,0,10559,0,7,0
10,11,Session,2015/10/3,874.65999,G,Player11,4.97004,0,0,0,0,0,0,0,0,10559,0,7,0
11,12,Pre-Practice,2015/10/3,97.95,F,Player1,5.17332,1,0,0,0,0,0,0,0,1136,0,7,0
12,13,Pre-Practice,2015/10/3,148.63,G,Player2,7.85004,1,0,0,0,0,0,0,0,1136,0,7,0
13,14,Pre-Practice,2015/10/3,74.18,F,Player3,3.91789,1,0,0,0,0,0,0,0,1136,0,7,0
14,15,Pre-Practice,2015/10/3,35.76,G,Player4,1.8887,1,0,0,0,0,0,0,0,1136,0,7,0
15,16,Pre-Practice,2015/10/3,80.52,F,Player5,4.25274,1,0,0,0,0,0,0,0,1136,0,7,0
16,17,Pre-Practice,2015/10/3,78.57,C,Player6,4.14975,1,0,0,0,0,0,0,0,1136,0,7,0
17,18,Pre-Practice,2015/10/3,62.06,G,Player7,3.27776,1,0,0,0,0,0,0,0,1136,0,7,0
18,19,Pre-Practice,2015/10/3,86.84,C,Player8,4.58654,1,0,0,0,0,0,0,0,1136,0,7,0
19,20,Pre-Practice,2015/10/3,84.76,F,Player9,4.47668,1,0,0,0,0,0,0,0,1136,0,7,0
20,21,Pre-Practice,2015/10/3,70.25,G,Player10,3.71032,1,0,0,0,0,0,0,0,1136,0,7,0
21,22,Pre-Practice,2015/10/3,62.88,G,Player11,3.32107,1,0,0,0,0,0,0,0,1136,0,7,0
22,23,Seated Coach Talk,2015/10/3,0.75,F,Player1,0.30604,2,0,0,0,0,0,0,0,147,0,7,0
23,24,Seated Coach Talk,2015/10/3,0.94,G,Player2,0.38357,2,0,0,0,0,0,0,0,147,0,7,0
24,25,Seated Coach Talk,2015/10/3,0.82,F,Player3,0.3346,2,0,0,0,0,0,0,0,147,0,7,0
25,26,Seated Coach Talk,2015/10/3,0.72,G,Player4,0.2938,2,0,0,0,0,0,0,0,147,0,7,0
26,27,Seated Coach Talk,2015/10/3,0.82,F,Player5,0.3346,2,0,0,0,0,0,0,0,147,0,7,0
27,28,Seated Coach Talk,2015/10/3,0.62,C,Player6,0.25299,2,0,0,0,0,0,0,0,147,0,7,0
28,29,Seated Coach Talk,2015/10/3,0.89,G,Player7,0.36317,2,0,0,0,0,0,0,0,147,0,7,0
29,30,Seated Coach Talk,2015/10/3,0.71,C,Player8,0.28972,2,0,0,0,0,0,0,0,147,0,7,0
30,31,Seated Coach Talk,2015/10/3,0.63,F,Player9,0.25707,2,0,0,0,0,0,0,0,147,0,7,0
31,32,Seated Coach Talk,2015/10/3,0.89,G,Player10,0.36317,2,0,0,0,0,0,0,0,147,0,7,0
32,33,Seated Coach Talk,2015/10/3,0.74,G,Player11,0.30196,2,0,0,0,0,0,0,0,147,0,7,0
33,34,Court Warm-Up,2015/10/3,59.23,F,Player1,6.52492,3,0,0,0,0,0,0,0,544,0,7,0
34,35,Court Warm-Up,2015/10/3,56.06,G,Player2,6.17571,3,0,0,0,0,0,0,0,544,0,7,0
35,36,Court Warm-Up,2015/10/3,48.83,F,Player3,5.37923,3,0,0,0,0,0,0,0,544,0,7,0
36,37,Court Warm-Up,2015/10/3,50.8,G,Player4,5.59625,3,0,0,0,0,0,0,0,544,0,7,0
37,38,Court Warm-Up,2015/10/3,55.95,F,Player5,6.16359,3,0,0,0,0,0,0,0,544,0,7,0
38,39,Court Warm-Up,2015/10/3,47.83,C,Player6,5.26907,3,0,0,0,0,0,0,0,544,0,7,0
39,40,Court Warm-Up,2015/10/3,63.16,G,Player7,6.95786,3,0,0,0,0,0,0,0,544,0,7,0
40,41,Court Warm-Up,2015/10/3,57.6,C,Player8,6.34536,3,0,0,0,0,0,0,0,544,0,7,0
41,42,Court Warm-Up,2015/10/3,54.51,F,Player9,6.00496,3,0,0,0,0,0,0,0,544,0,7,0
42,43,Court Warm-Up,2015/10/3,56.88,G,Player10,6.26604,3,0,0,0,0,0,0,0,544,0,7,0
43,44,Court Warm-Up,2015/10/3,51.38,G,Player11,5.66015,3,0,0,0,0,0,0,0,544,0,7,0
